X,Y,OBJECTID,ORGANIZATION_NAME,PROGRAM_NAME,DESCRIPTION,WEBSITE_URL,STREET_ADDRESS,CITY,STATE,ZIP,LAT,LONG_,ACCESSIBILITY_SERVICES,ADULT_LITERACY,ART_THERAPY,ASSESSMENT,BORROW_MATERIALS,CASE_MANAGEMENT,CHILD_CARE,CLOTHING,COMPUTERS,DENTAL_SERVICES,DOCUMENTATION_ASSISTANCE,DOMESTIC_VIOLENCE_SERVICES,FOOD_GROCERIES,GROUPS,HAIRCUTS,HARM_REDUCTION,HIV_TESTING,HOUSING,HOUSING_NAVIGATION,INCOME_TAX_HELP,LAUNDRY,LIBRARY_CARD,LEGAL_SERVICES,MEDICAL_BENEFITS,MEDICAL_SERVICES,MAIL,MEALS,MENTAL_HEALTH,MINISTRY,PHONE,PUBLIC_RESTROOMS,REFRESHMENTS,SHOWERS,SNAP_FOOD_STAMPS,STORAGE,SUBSTANCE_ABUSE_TREATMENT,SUPPORTED_EMPLOYMENT,TANF_FINANCIAL_ASSISTANCE,TRANSPORTATION,VOCATIONAL_TRAINING,CLIENTS_SERVED_PER_DAY,TARGET,OPEN_TO_PUBLIC,HOURS_OF_OPERATION,RECORD_LAST_UPDATED,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
-76.99191950481665,38.932709457482105,10,Catholic Charities,Refugee Center,"The Refugee Center is a home to welcome refugees and those who have asylum status to Washington, DC. The program helps these families to learn cultural norms about their new community in a safe environment and provides support in finding a job. Our staff understand what it is like to be refugee or asylee — many of them were once refugees themselves!  This allows us to offer services and support that fit the unique experiences of those who had to flee their home and come to the United States.
 In addition to our employment services, we offer refugees referrals for housing, help finding employment and education about the culture and social customs here in America.",https://www.catholiccharitiesdc.org/refugee/,"1018 Monroe Street, NE",Washington ,DC,20017,38.932782,-76.991917,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2017-09-12T00:00:00.000Z,1018 MONROE STREET NE,400700.81,140535.49,38.932702,-76.99191722,Ward 5,9301,20017,75480,,100,DC Address,
-76.992086087192462,38.931319757315293,11,Catholic Charities,Anchor Counseling Services,"Catholic Charities Behavioral Health Services is one of the highest rated provider in Washington, DC – we are a free-standing mental health clinic who serves as a Core Service Provider for DC Department of Behavioral Health. We provide help for adults living with mental illness that includes furthering education, finding and securing employment, managing medication and providing ongoing case management services.  Following a comprehensive intake, which includes diagnosis, our staff guide clients to a more self-sufficient and healthy lifestyle.",https://www.catholiccharitiesdc.org/behavioralhealth/,"1001 Lawrence St., NE",Washington ,DC,20017,38.931256,-76.992072,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,2017-09-12T00:00:00.000Z,1001 LAWRENCE STREET NE,400686.38,140381.22,38.9313123,-76.9920838,Ward 5,9301,20017,289589,,100,DC Address,
-77.011065459001671,38.898692209955883,12,Central Union Mission,Ministry Resource Center & Shelter,"Central Union Mission is a faith-based 501(c)(3) nonprofit organization with six locations throughout the Washington metropolitan area. In addition to its family ministries, the Mission operates an emergency shelter program, a rehabilitation program for men with life-controlling issues, a food, clothing and furniture distribution center, a retreat and recreation center with a camp for underprivileged children, programs for isolated seniors, computer and job training and transitional and low-cost housing.",http://www.missiondc.org/,"65 Massachusetts Avenue, NW",Washington ,DC,20001,38.898689,-77.011088,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,25,Men,Yes,,2017-09-12T00:00:00.000Z,65 MASSACHUSETTS AVENUE NW,399040.32,136759.32,38.89868476,-77.01106317,Ward 6,4702,20001,237153,,100,DC Address,
-77.039990697599521,38.924855482197593,13,Christ House,Medical Care & Housing Services,"Christ House is a 24-hour residential medical facility for homeless persons in DC. Patients are admitted to Christ House from area hospitals, shelters, clinics, and medical outreach projects. They suffer from a variety of illnesses and injuries including cancer, hypertension and stroke, liver disease, kidney failure, diabetes and related amputations, HIV/AIDS, respiratory disease, major lacerations, fractures, and ulcerations of the skin. Many are malnourished, anemic, depressed, and desperately disconnected from healthy sources of support.",http://christhouse.org/,1717 Columbia Road NW,Washington ,DC,,38.924893,-77.039967,,,Yes,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1717 COLUMBIA ROAD NW,396532.46,139664.36,38.92484802,-77.0399884,Ward 1,3900,20009,235976,,100,DC Address,
-77.030472232353645,38.89866515751887,14,Church of the Epiphany,The Welcome Table,"The mission of The Welcome Table is to feed the hungry, build diverse and inclusive community, worship as one, and give and receive the love of Christ. Approximately 200 downtown poor participate in the various aspects of The Welcome Table every Sunday morning.",http://epiphanydc.org/ministry/welcome-table/,1317 G St. NW,Washington ,DC,20005,38.898739,-77.03042,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,29,Men & Women,Yes,,2017-09-12T00:00:00.000Z,1317 G STREET NW,397356.87,136756.7,38.89865771,-77.03046994,Ward 2,5800,20005,279048,,100,DC Address,
-77.029315601341565,38.904205143533439,15,Coalition for the Homeless,Administrative Office,The purpose of the Coalition is to assist individuals and families in the District of Columbia who have become homeless to fulfill their potential for economic self-sufficiency. CFH fulfills its mission by operating and managing 11 program sites in the District of Columbia that includes transitional and permanent housing for men and families with children. ,http://www.dccfh.org/,"1234 Massachusetts Ave, NW, Suite C-1015",Washington ,DC,,38.904188,-77.029267,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1234 MASSACHUSETTS AVENUE NW,397457.4,137371.65,38.90419769,-77.02931331,Ward 2,10100,20005,240920,,100,DC Address,
-76.994539516173589,38.883646999902851,16,Community Connections,Main Office,"Our mission is to provide behavioral health, residential services, and primary health care coordination for marginalized and disenfranchised women, men, youth, and children living in the District of Columbia, many of whom are coping with challenges including mental illness, addiction, and the aftermath of trauma and abuse. ",http://www.communityconnectionsdc.org/,801 Pennsylvania Ave SE,Washington ,DC,,38.883601,-76.994593,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Men & Women,,,2017-09-12T00:00:00.000Z,801 PENNSYLVANIA AVENUE SE,400473.97,135089.14,38.88363955,-76.99453724,Ward 6,7000,20003,280150,,100,DC Address,
-76.972159064603289,38.900233090027029,1,Anacostia Community Outreach Center (ACOC),Food Pantry & Computer Center,"For the past 20 years, the ACOC Food Pantry Program has provided free bagged groceries to hungry families, seniors, and single adults. On average, the program hands out approximately 600 bags of groceries per month. In addition, anyone interested in finding employment can come to ACOC, sign up for our job readiness and/or basic computer skills classes, which are instructor led and computer based.  In our fully integrated computer lab, students can take job readiness assessments that gauge their career interest, learn the fundamentals of job research, resume writing and interviewing, as well as basic Microsoft office skills in Word, PowerPoint, and Excel.",http://www.anacostiaoutreach.org/wordpress/,"711 24th Street, NE",Washington ,DC,20002,38.899073,-76.972338,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Men & Women,Yes,,2017-09-12T00:00:00.000Z,711 24TH STREET NE,402415.22,136930.68,38.90022564,-76.97215679,Ward 5,8904,20002,291073,,100,DC Address,
-76.993253177286832,38.861403112396452,2,Bethlehem Baptist Outreach Center,BBC Outreach Center,"The BBC Outreach Center provides food, clothing, dinner every Friday (4:00pm-6:00pm), and counseling for all Southeast DC residents (a referral is required for all other residents). ",http://washington.dc.networkofcare.org/mh/services/agency.aspx?pid=BethlehemBaptistChurchOutreachCenter_1347_2_0,2458 Martin Luther King Jr Avenue S,Washington ,DC,20020,38.861387,-76.993271,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,15,,Yes,,2017-09-12T00:00:00.000Z,2458 MARTIN LUTHER KING JR AVENUE SE,400585.76,132619.91,38.86139567,-76.9932509,Ward 8,7407,20020,287071,Quad: Missing,85,DC Address,
-76.981056828015213,38.866208121718181,3,Bread for the City,Southeast Center,"The mission of Bread for the City is to help Washington, DC residents living with low income to develop the power to determine the future of their own communities. We provide food, clothing, medical care, and legal and social services to reduce the burden of poverty. We seek justice through community organizing and public advocacy. We work to uproot racism, a major cause of poverty. We are committed to treating our clients with the dignity and respect that all people deserve.",https://breadforthecity.org/,1640 Good Hope Road SE,Washington ,DC,20020,38.86622,-76.98109,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,Yes,,,,Yes,,,25,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1640 GOOD HOPE ROAD SE,401644.18,133153.45,38.86620067,-76.98105455,Ward 8,7605,20020,286380,,100,DC Address,
-77.021627240483525,38.910339433450595,4,Bread for the City,Northwest Center,"The mission of Bread for the City is to help Washington, DC residents living with low income to develop the power to determine the future of their own communities. We provide food, clothing, medical care, and legal and social services to reduce the burden of poverty. We seek justice through community organizing and public advocacy. We work to uproot racism, a major cause of poverty. We are committed to treating our clients with the dignity and respect that all people deserve.",https://breadforthecity.org/,1525 7th Street NW,Washington ,DC,20001,38.910323,-77.021611,,,,,,Yes,,,,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,Yes,Yes,,,Yes,,,,,,Yes,,Yes,,Yes,,,66,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1525 7TH STREET NW,398124.44,138052.42,38.91033198,-77.02162495,Ward 6,4801,20001,297622,,100,DC Address,
-77.01335305748043,38.905387342155855,5,Bright Beginnings,Early Child Care Program,"Bright Beginnings is a nationally-accredited child and family development center that offers a bright start for homeless infants, toddlers and preschoolers and their families. Bright Beginnings serves about 162 children every day whose families are living in crisis shelters or transitional housing. Our educational, therapeutic, health and family support services prepares these children for kindergarten and stabilizes their families.",http://www.brightbeginningsinc.org/,128 M St. NW,Washington ,DC,20001,38.905312,-77.012765,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Children,Yes,,2017-09-12T00:00:00.000Z,128 M STREET NW,398841.99,137502.56,38.90537989,-77.01335077,Ward 6,4701,20001,279016,,100,DC Address,
-76.986972351446326,38.88146592077937,6,Capital Hill Group Ministries,Shirley's Place,"Shirley’s Place is the only daytime drop-in center in DC for families with children of all ages!  We are proud to have served 2,355 individuals in 2011, a 103% increase since 2010, and will continue to provide daytime hospitality for Ward 6 all year long, Monday-Friday.  All are welcome as we seek to provide our neighbors with opportunities for healthy, fulfilling and productive living.",http://www.chgm.net/programs/services-for-homeless-families/chgms-headquarters-shirleys-place/,1338 G St. SE,Washington ,DC,,38.881469,-76.986952,,,,,,Yes,,,Yes,,,,,Yes,,,,,,,Yes,,,,,,Yes,,,Yes,,,Yes,,,,,,,Yes,,Families,,,2017-09-12T00:00:00.000Z,1338 G STREET SE,401130.56,134847.09,38.88145847,-76.98697007,Ward 6,6900,20003,66900,,100,DC Address,
-77.023159474895294,38.926765559532754,7,Casa Ruby,Drop-Inn Safe Center,"Our Drop Inn-Community Center is the only Bilingual Multicultural LGBT safe space in Washington, DC open 6 days a week, Monday-Saturday from 12-8pm.Our goal is to support the most vulnerable in our LGBT community when need it most. Staff and volunteers working together to provide basic human services to more than 150 clients per week",http://www.casaruby.org/drop.html,2822 Georgia Ave. NW,Washington ,DC,20001,38.926765,-77.023188,,,,,,Yes,,Yes,Yes,,,,,Yes,,,,,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,25,Youth,Yes,,2017-09-12T00:00:00.000Z,2822 GEORGIA AVENUE NW,397992.01,139875.89,38.9267581,-77.02315718,Ward 1,3500,20001,232586,,100,DC Address,
-77.025171705927463,38.898121684249176,8,Catholic Charities,Administrative Office,"Catholic Charities assists individuals and families in need, especially those who are most vulnerable. We believe in helping people develop the skills and strength to move from crisis or isolation to stability and growth. We focus on prevention when possible, intervention when needed and advocacy when resources or opportunities are either inadequate or unfair. We are guided in this work by the richness of Catholic Social Teaching.
 We are strengthened through partnerships with other providers, government agencies, foundations, businesses, individuals, schools and churches, especially our Catholic parishes. We collaborate with these resources and other community assets to offer programs that are effective and fiscally sound.",https://www.catholiccharitiesdc.org/aboutus/our-mission/,924 G St. NW,Washington ,DC,,38.897997,-77.025103,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,924 G STREET NW,397816.65,136696.23,38.89811423,-77.02516941,Ward 2,5800,20001,285571,,100,DC Address,
-76.97462496596394,38.884317297879562,9,Catholic Charities,Harriet Tubman Day Program,"Harriet’s Tubman’s Day Program focuses on life skills training for women and is open Monday through Friday, 9 am to 5:00 pm. Breakfast and lunch are served.",https://www.catholiccharitiesdc.org/harriettubman/,1910 Massachusetts Ave. SE Building #27,Washington ,DC,20003,38.88325,-76.972918,,,,,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,,100,Women,No,,2017-09-12T00:00:00.000Z,1910 MASSACHUSETTS AVENUE SE,402201.81,135163.84,38.88430985,-76.97462269,Ward 7,6804,20003,295134,,100,DC Address,
-76.996945286361083,38.885370842020343,17,Community Connections,The Center for Families and Children,"Community Connections is pleased to offer services to children and youth who suffer from mental illness, substance abuse, or a history of trauma. Our goal is to provide high-quality, clinical mental health services focused on the strengths of each individual child and family. Family support and skill building are offered through individual, group, and family-based interventions. Community Connections utilizes the focus and creativity of the entire team to develop flexible and targeted interventions. Problems are recognized in their proper context and addressed through collaborative partnerships with families and their formal and informal support networks.",http://www.communityconnectionsdc.org/our-services/families-children,"650 Pennsylvania Ave., SE",Washington ,DC,,38.885382,-76.996971,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017-09-12T00:00:00.000Z,650 PENNSYLVANIA AVENUE SE,400265.23,135280.49,38.88536339,-76.996943,Ward 6,6600,20003,280033,,100,DC Address,
-77.015649961421943,38.896310234444933,18,Community Family Life Services,Emergency Services Program,"Community Family Life Services (CFLS) provides emergency food and clothing to homeless and low-income families and individuals, as well as women returning home from a period of incarceration. Our emergency services or drop-in center serves clients in our programs with immediate and unexpected needs and also caters to those with short term needs who may not need ongoing case management or want to be involved long term with the various programs that we provide.",https://www.cflsdc.org/,305 E St. NW,Washington ,DC ,20001,38.896327,-77.015588,,,,,,Yes,,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,25,Men & Women,Yes,,2017-09-12T00:00:00.000Z,305 E STREET NW,398642.59,136494.96,38.89630278,-77.01564767,Ward 2,5900,20001,279657,,100,DC Address,
-77.013299219786091,38.895511573694968,19,Community for Creative Non-Violence,The Mitch Snyder Center for Arts and Education,This is a day program at CCNV,http://www.theccnv.org/contact.htm,425 2nd St. NW,Washington ,DC,20001,38.895439,-77.013292,,,,,,Yes,,Yes,Yes,,,,Yes,,,,,,,,Yes,,,,,Yes,Yes,,,,,,Yes,,Yes,,,,,Yes,138,Men & Women,No,,2017-09-12T00:00:00.000Z,425 2ND STREET NW,398846.5,136406.27,38.89550412,-77.01329693,Ward 6,5900,20001,299726,,100,DC Address,
-77.036881792122813,38.910041401235084,37,Foundry United Methodist,ID & Walk-In Ministry,"Each Friday and the 1st and 3rd Saturday of the month, Foundry’s I.D. & Walk-in Ministry opens to the community from 9:00 am – 12:00 noon to provide assistance in obtaining birth certificates, District of Columbia non-driver’s identification cards. With the generous support of the Foundry congregation, the I.D Ministry has 36 appointment spaces available each Friday and 1st and 3rd Saturdays for identification documents. In addition, the Walk-in ministry for clothes and a snack lunch is each Friday morning. There are 25 spaces available through walk-in for clothing items (first come first served).",http://www.foundryumc.org/walk-mission,1500 16TH STREET NW,Washington ,DC,20036,38.910039,-77.036948,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,36,Men & Women,Yes,,2017-09-12T00:00:00.000Z,1500 16TH STREET NW,396801.38,138019.76,38.91003395,-77.0368795,Ward 2,5301,20036,243309,,100,DC Address,
-77.080638880345589,38.951373405672179,38,Friendship Place,Drop-In Center & Clinic,"Our Welcome Center is a place where individuals experiencing homelessness can find a place of safety off of the streets. The center provides basic needs such as food, showers, laundry, supplies, and free medical and psychiatric care. Participants are encouraged to access case management services from staff, including referrals to community resources, supportive counseling, assessments for housing and mental health services, and assistance in achieving participant-identified goals.",https://friendshipplace.org/drop-in-and-clinic/,"4713 Wisconsin Ave, NW",Washington ,DC,20016,38.95138,-77.080617,,,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,Yes,,Yes,,,,,,Yes,,,,,,,,40,Men & Women,Yes,,2017-09-12T00:00:00.000Z,4713 WISCONSIN AVENUE NW,393010.31,142610.41,38.95136594,-77.08063657,Ward 3,1100,20016,274422,,100,DC Address,
-77.062025248014692,38.903581499779648,39,Georgetown Ministry Center,Clubhouse Drop-In Center,"Georgetown Ministry Center guides service-resistant, chronically homeless individuals towards stability and housing through aggressive street outreach, provision of a safe and welcoming environment where everyone is treated with respect, and advocacy for the homeless. We seek lasting solutions to homelessness one person at a time.",https://georgetownministrycenter.org/programs/clubhouse/,1041 Wisconsin Avenue NW,Washington ,DC,20007,38.903667,-77.062268,,,Yes,,,Yes,,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,,,,60,Men & Women,Yes,,2017-09-12T00:00:00.000Z,1041 WISCONSIN AVENUE NW,394620.16,137303.84,38.90357405,-77.06202295,Ward 2,100,20007,273796,,100,DC Address,
-76.993385636924955,38.900420620980483,40,HIPS,Drop-In Center,"HIPS promotes the health, rights, and dignity of individuals and communities impacted by sexual exchange and/or drug use due to choice, coercion, or circumstance. HIPS provides compassionate harm reduction services, advocacy, and community engagement that is respectful, non-judgmental, and affirms and honors individual power and agency. ",http://www.hips.org/how-we-improve-lives.html,906 H Street NE,Washington ,DC,,38.900404,-76.993354,,,Yes,,,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,Yes,,Yes,,,,,,Yes,,,,,,,,,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,906 H STREET NE,400573.95,136951.15,38.90041317,-76.99338336,Ward 6,8410,20002,151203,,100,DC Address,
-77.032602831319778,38.906478881319252,41,House of Ruth,Childcare Center,"Founded in 1990, Kidspace Child and Family Development Center is a nationally accredited child development center for children ages six weeks through five years old. The children are from families that are homeless and living at House of Ruth or other programs in the District of Columbia.",https://houseofruth.org/our-programs/childcare-center/,"5 Thomas Circle, NW",Washington ,DC,20005,38.906446,-77.032583,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Children,No,,2017-09-12T00:00:00.000Z,5 THOMAS CIRCLE NW,397172.36,137624.15,38.90647143,-77.03260054,Ward 2,5201,20005,243014,,100,DC Address,
-77.036555227952206,38.881395164501981,42,Jefferson Memorial,Public Restrooms,"Clean, Safe Public Restrooms in/near Downtown Washington DC",https://dcdhs.dc.gov/page/downtown-washington-dc-public-restrooms,"701 E Basin Dr, SW",Washington ,DC,,38.881396,-77.036457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Men & Women,,,2017-09-12T00:00:00.000Z,701 EAST BASIN DRIVE SW,396828.43,134839.79,38.88138738,-77.03655293,Ward 2,6202,20004,313482,,100,DC Address,
-77.036507138030998,38.899581829913728,43,Lafayette Square,Public Restrooms,"Clean, Safe Public Restrooms in/near Downtown Washington DC",https://dcdhs.dc.gov/page/downtown-washington-dc-public-restrooms,Pennsylvania & 16th St NW,Washington ,DC,,38.899539,-77.036551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Men & Women,,,2017-09-12T00:00:00.000Z,,396833.41,136858.65,38.899574,-77.036505,2,6202,20005,302944,,,,
-77.027062906259033,38.966921389443428,20,Contemporary Family Services,Headquarters,"Contemporary Family Services, Inc. (CFS) strives to be the premier strengths-based provider of holistic and seamless systems of care for the most vulnerable children and families. We seek to address the various physical, social, psychological, and psychiatric treatment needs of our clients in a comprehensive and culturally competent manner. Our continuum of care fosters growth and facilitates sustainable change for individuals, families, and communities including families with children experiencing intensive needs that require cross-agency and cross-disciplinary interventions health and wellness. ",https://contemporaryservices.net/,6323 GEORGIA AVE NW,Washington ,DC,,38.966907,-77.027065,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017-09-12T00:00:00.000Z,6323 GEORGIA AVENUE NW,397654.86,144333.64,38.96691392,-77.02706061,Ward 4,1901,20011,254165,,100,DC Address,
-76.98982866632619,38.86593013448234,21,Contemporary Family Services,Service Location,"Contemporary Family Services, Inc. is a community-based comprehensive mental health agency. We offer a myriad of services across our sites to include counseling and psychiatric treatment, case management, and medication management.",https://contemporaryservices.net/programs-and-services/,"2041 MARTIN LUTHER KING JR. AVE., SE SUITE 239",Washington ,DC,,38.865972,-76.98982,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017-09-12T00:00:00.000Z,2041 MARTIN LUTHER KING JR AVENUE SE,400882.92,133122.47,38.86592269,-76.98982639,Ward 8,7503,20020,278056,,100,DC Address,
-76.965579235125233,38.876288234835499,22,Contemporary Family Services,Service Location,"Contemporary Family Services, Inc. is a community-based comprehensive mental health agency. We offer a myriad of services across our sites to include counseling and psychiatric treatment, case management, and medication management.",https://contemporaryservices.net/programs-and-services/,2918 MINNESOTA AVENUE SE,Washington ,DC,,38.876362,-76.965538,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017-09-12T00:00:00.000Z,2918 MINNESOTA AVENUE SE,402986.98,134272.81,38.87628078,-76.96557696,Ward 7,7709,20019,287326,,100,DC Address,
-76.95814841237241,38.868670823846486,23,Contemporary Family Services,Main Office,"Contemporary Family Services, Inc. is a community-based comprehensive mental health agency. We offer a myriad of services across our sites to include counseling and psychiatric treatment, case management, and medication management.",https://contemporaryservices.net/programs-and-services/,3300 PENNSYLVANIA AVENUE SE,Washington ,DC,,38.868632,-76.957832,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017-09-12T00:00:00.000Z,3300 PENNSYLVANIA AVENUE SE,403632.16,133427.49,38.86866337,-76.95814614,Ward 7,9901,20020,287806,,100,DC Address,
-76.929014665762381,38.897201543888549,24,Contemporary Family Services,Service Location,"Contemporary Family Services, Inc. is a community-based comprehensive mental health agency. We offer a myriad of services across our sites to include counseling and psychiatric treatment, case management, and medication management.",https://contemporaryservices.net/programs-and-services/,603 50TH ST NE,Washington ,DC,,38.897843,-76.929834,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Families,,,2017-09-12T00:00:00.000Z,603 50TH STREET NE,406157.98,136596.18,38.89719409,-76.9290124,Ward 7,7804,20019,300384,,100,DC Address,
-76.974234424702516,38.843603582453284,25,Covenant House,Resource Center,"CHW serves as the region’s largest and leading non-profit in protecting, supporting, and transforming the lives of homeless, disconnected, and exploited youth. For over 22 years, CHW has provided resources to the nations most vulnerable population in the Greater Washington Region, providing young people ages 12 – 24 with the wrap-around supportive services they need to thrive. Resources include: emergency housing, transitional housing, workforce readiness, resume building, job placement, post secondary education support and placement, ABE/GED/high school diploma education, and an on-site NAEYC nationally accredited gold-tiered child development center.",http://covenanthousedc.org/,"2001 Mississippi Avenue, SE",Washington ,DC,20020,38.843527,-76.974223,,,,,,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,,,,,2017-09-12T00:00:00.000Z,2001 MISSISSIPPI AVENUE SE,402236.97,130644.33,38.84359614,-76.97423215,Ward 8,7409,20020,295846,,100,DC Address,
-77.007061818512753,38.909455701663397,26,Department of Behavioral Health,Assessment and Referral Center (ARC),The Assessment and Referral Center (ARC) provides same day assessment and referral for individuals seeking treatment for substance use disorders,https://dbh.dc.gov/service/treatment-services,75 P St. NE,Washington ,DC,,38.909642,-77.007024,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2017-09-12T00:00:00.000Z,75 P STREET NE,399387.71,137954.12,38.90944791,-77.00705953,Ward 5,10600,20002,313290,,100,DC Address,
-76.97487854623607,38.919629752981216,27,Department of Human Services,Adams Place Drop-In Center,The Day Center addresses the long-standing need in the community of having a safe and dignified place for individuals experiencing homelessness to go during the day to take care of everyday needs and access long-term services and supports.,https://dcdhs.dc.gov/page/drop-center,"2210 Adams Place, NE",Washington ,DC,20018,38.919627,-76.974885,,,,,,Yes,,Yes,Yes,,,,,,Yes,,,,Yes,,Yes,,,,,,Yes,,,,,,Yes,,,,,,,Yes,125,Men & Women,Yes,,2017-09-12T00:00:00.000Z,2210 ADAMS PLACE NE,402178.73,139083.8,38.91962229,-76.97487627,Ward 5,11100,20018,50358,,100,DC Address,
